HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Valencia,Getafe,1,0,H,1,0,H,4,22,2,4,24,15,1,9,6,3,1,1
Cadiz,Levante,1,1,D,0,1,A,7,12,2,3,10,16,2,4,1,5,0,0
Mallorca,Betis,1,1,D,1,0,H,6,10,2,1,12,18,4,3,1,3,0,0
Alaves,Real Madrid,1,4,A,0,0,D,11,19,4,7,14,10,0,4,1,2,0,0
Osasuna,Espanol,0,0,D,0,0,D,14,10,1,3,18,12,4,6,3,3,0,0
Celta,Ath Madrid,1,2,A,0,1,A,10,13,2,4,11,9,2,5,4,5,1,1
Barcelona,Sociedad,4,2,H,2,0,H,13,11,8,3,11,18,5,3,2,4,0,0
Sevilla,Vallecano,3,0,H,1,0,H,21,4,8,3,14,7,4,0,1,0,0,1
Villarreal,Granada,0,0,D,0,0,D,14,6,4,1,19,21,6,2,5,1,1,0
Elche,Ath Bilbao,0,0,D,0,0,D,8,9,2,3,13,19,6,8,2,2,0,0
Betis,Cadiz,1,1,D,1,1,D,16,8,7,3,12,10,4,5,4,0,0,0
Alaves,Mallorca,0,1,A,0,0,D,9,12,4,2,14,15,1,8,3,3,1,0
Espanol,Villarreal,0,0,D,0,0,D,14,12,3,2,10,10,9,7,3,4,0,0
Granada,Valencia,1,1,D,1,0,H,9,18,2,7,14,12,2,6,4,2,0,0
Ath Bilbao,Barcelona,1,1,D,0,0,D,16,9,7,3,15,10,13,2,1,2,0,1
Sociedad,Vallecano,1,0,H,0,0,D,13,9,8,1,19,15,5,4,3,4,0,0
Ath Madrid,Elche,1,0,H,1,0,H,8,4,4,2,16,10,2,1,2,2,0,0
Levante,Real Madrid,3,3,D,0,1,A,8,19,4,5,17,7,4,6,3,2,1,0
Getafe,Sevilla,0,1,A,0,0,D,12,9,0,3,18,10,5,4,2,2,0,0
Osasuna,Celta,0,0,D,0,0,D,15,4,7,0,19,8,1,2,4,3,0,0
Mallorca,Espanol,1,0,H,1,0,H,12,8,6,3,16,17,3,2,4,3,0,1
Valencia,Alaves,3,0,H,2,0,H,9,10,4,3,20,15,4,4,1,4,0,0
Celta,Ath Bilbao,0,1,A,0,1,A,13,6,0,2,12,11,5,4,2,1,0,0
Elche,Sevilla,1,1,D,1,1,D,7,18,4,5,6,9,5,3,2,0,0,0
Sociedad,Levante,1,0,H,1,0,H,7,6,2,0,17,13,2,2,1,1,0,0
Betis,Real Madrid,0,1,A,0,0,D,11,13,6,3,15,13,3,7,5,3,0,0
Barcelona,Getafe,2,1,H,2,1,H,7,8,3,3,16,22,3,2,3,1,0,0
Cadiz,Osasuna,2,3,A,1,0,H,7,14,3,4,9,6,4,11,4,0,0,0
Vallecano,Granada,4,0,H,3,0,H,19,9,6,3,19,14,5,6,1,4,0,0
Ath Madrid,Villarreal,2,2,D,0,0,D,24,2,5,2,11,6,16,0,4,2,0,0
Levante,Vallecano,1,1,D,1,0,H,7,22,2,6,14,16,2,5,3,4,0,0
Ath Bilbao,Mallorca,2,0,H,0,0,D,19,7,5,1,7,13,7,2,1,2,0,0
Espanol,Ath Madrid,1,2,A,1,0,H,9,13,3,3,10,11,6,3,1,4,0,0
Osasuna,Valencia,1,4,A,1,1,D,11,10,2,4,20,14,4,4,4,2,0,0
Cadiz,Sociedad,0,2,A,0,0,D,6,16,1,4,10,9,2,8,4,0,1,0
Real Madrid,Celta,5,2,H,1,2,A,15,11,11,4,8,16,7,3,2,3,0,0
Getafe,Elche,0,1,A,0,0,D,10,8,1,3,6,14,8,2,2,3,0,0
Granada,Betis,1,2,A,0,1,A,11,19,2,9,7,14,6,8,1,2,0,0
